,title,value_year_2020,value_year_2021,value_year_2022
4,Saldo laba: Belum dicadangkan,49305938.0,56486521,71137018
1,Tambahan modal disetor,9703937.0,9703937,9703937
5,Selisih kurs dari penjabaran laporan keuangan,2186712.0,2712298,4369193
0,Lainnya,-910204.0,-3534106,-1440347
9,total_ekuitas,60286383.0,68559923,84698121
