,title,value_year_2020,value_year_2021,value_year_2022
7,Aset tetap,24319373,20456694,23677857
8,Properti pertambangan,12960139,11925276,11904934
11,Aset tambang berproduksi,4712973,4456300,4836058
0,Lainnya,11326931,12538250,17109368
15,total_aset_tidak_lancar,55605181,51957288,61548172
