,title,value_year_2020,value_year_2021,value_year_2022
0,Utang usaha,10087733,14299387,16789680
9,Akrual,3829219,5188309,10693734
16,Bagian jangka pendek dari utang jangka panjang,2468375,5350875,2511075
0,Lainnya,4558497,5650647,3582213
0,Total,20943824,30489218,33576702
