,title,value_year_2020,value_year_2021,value_year_2022
0,Kas dan setara kas,20498.574,33321.741,38281.513
1,Piutang usaha - Pihak ketiga,9691.946,11639.657,13929.353
5,Persediaan,8002.357,9454.035,15390.277
0,Lainnya,6738.294000000001,6504.3189999999995,8411.02
12,total_aset_lancar,44195.782,60604.068,78930.048
