,title,value_year_2020,value_year_2021,value_year_2022
3,"Utang jangka panjang, setelah dikurangi bagian jangka pendek",7757750.0,10078232.0,2497075.0
0,Liabilitas pajak tangguhan,3256671.0,4071332.0,3241216.0
2,Liabilitas imbalan kerja,3155268.0,2531565.0,3315595.0
0,Lainnya,1540310.0,1336643.0,1436471.0
7,total_liabilitas_jangka_panjang,15709999.0,18017772.0,8729158.0
